"id","year","side_b","adm_1","longitude","latitude","event_clarity","date_prec","where_prec","date_start","date_end","deaths_a","deaths_b","deaths_civilians","deaths_unknown","best"
176544,1993,"Hamas","Southern district",34.65,31.8,1,1,2,1993-09-12,1993-09-12,0,1,0,0,1
178427,1993,"Hamas","Gaza Strip",34.402939,31.439531,1,1,1,1993-10-02,1993-10-02,0,2,0,0,2
178428,1993,"Hamas","West Bank",35.195547,31.902561,1,1,2,1993-10-04,1993-10-04,0,1,0,0,1
178429,1993,"Hamas","Gaza Strip",34.251856,31.28537,1,1,2,1993-10-24,1993-10-24,2,0,0,0,2
178430,1993,"Hamas","West Bank",34.950267,31.508583,1,1,1,1993-11-08,1993-11-08,0,1,0,0,1
178431,1993,"Hamas","Gaza Strip",34.45,31.516667,1,1,1,1993-11-24,1993-11-24,0,1,0,0,1
178432,1993,"Hamas","Jerusalem district",35.216667,31.783333,1,1,1,1993-11-26,1993-11-26,0,1,0,0,1
178433,1993,"Hamas","Gaza Strip",34.45,31.516667,1,1,1,1993-12-14,1993-12-14,0,0,0,1,1
176545,1993,"Hamas","Gaza Strip",34.45,31.516667,1,1,1,1993-12-14,1993-12-14,0,1,0,0,1
176557,1993,"Hamas","Gaza Strip",34.45,31.516667,1,1,1,1993-12-24,1993-12-24,1,0,0,0,1
178536,1994,"Hamas","Gaza Strip",34.483471,31.5272,1,1,1,1994-01-03,1994-01-03,0,1,0,0,1
178537,1994,"Hamas","Gaza Strip",34.446616,31.534912,1,1,1,1994-01-03,1994-01-03,0,1,0,1,2
178538,1994,"Hamas","West Bank",35.093796,31.529349,1,1,1,1994-01-14,1994-01-14,0,4,0,0,4
178540,1994,"Hamas","Gaza Strip",34.544839,31.5582,1,1,1,1994-01-14,1994-01-14,0,1,0,0,1
178541,1994,"Hamas","West Bank",35.195547,31.902561,1,1,1,1994-02-13,1994-02-13,1,0,0,0,1
178542,1994,"Hamas","West Bank",35.265833,31.7625,1,1,1,1994-02-24,1994-02-24,0,1,0,0,1
178543,1994,"Hamas","Gaza Strip",34.544839,31.5582,1,1,1,1994-03-08,1994-03-08,0,1,0,1,2
178544,1994,"Hamas","Gaza Strip",34.303056,31.344444,1,1,1,1994-03-17,1994-03-17,0,1,0,1,2
178545,1994,"Hamas","West Bank",35.093796,31.529349,1,1,1,1994-03-23,1994-03-23,0,4,1,0,5
